0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Date,O1,O2,O3,O4,O5,O6,O7,O8,I1,I2,I3,I4,0,I5,I6,I7,I8,I9,I10,I11,0,I12,I13,I14,I15,I16,I17,I18,I19,0,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34
01/01/1998,-1,1,1,-1,1,-1,-1,1,90.03,92.14,86.94,86.46,0,-7.86,7.57,7.33,0.24,-0.15,0.39,0.37,0,0.01,0.03,0.01,0.01,0.02,0.09,0.05,-0.01,-1,101.24,102.31,0.01,1,90,101.07,101.58,0.01,0.01,0.01,0.02,0,0,0,
02/01/1998,-1,1,-1,1,-1,-1,1,1,90.14,87.16,88.66,87.12,-1,-12.84,7.64,7.33,0.32,-0.06,0.37,0.39,0,0,0.01,0.03,0.02,0.01,0.07,0.13,-0.02,-1,101.21,101.85,0.01,1.05,93.99,100.83,101.37,0.01,0.02,0.03,0.02,0,0,0,
05/01/1998,-1,-1,1,-1,-1,-1,1,-1,90.13,91.3,90.2,88.6,1,-8.7,7.7,7.32,0.38,0.03,0.34,0.37,0,0.01,0.01,0.02,0.04,0.02,0.05,0.17,-0.02,-1,101.61,102.26,0.01,1.19,90.51,101.02,101.76,0.02,0,0.02,0.02,0,0,0,
06/01/1998,-1,1,-1,-1,-1,-1,1,-1,80.99,76.04,84.84,87.9,-1,-23.96,7.74,7.32,0.42,0.12,0.3,0.34,0,-0.01,-0.01,0,0.01,0.02,0.01,0.18,0.02,1,99.74,100.7,0.01,-0.14,67.75,99.55,100.2,0,0.02,0.02,0.02,0,0,0,
07/01/1998,-1,-1,-1,-1,-1,-1,1,-1,78.85,80,82.45,85.83,0,-20,7.78,7.33,0.44,0.2,0.25,0.3,0,0.02,0,0.01,0.01,0.02,0.04,0.21,-0.02,-1,100.79,101.86,0.01,1,81.87,100.65,101.32,0.02,-0.01,0.04,0.02,0,0,0,
08/01/1998,-1,-1,-1,-1,1,-1,1,1,54.83,19.05,58.36,75.22,0,-80.95,7.75,7.33,0.43,0.26,0.16,0.25,0,-0.06,-0.05,-0.06,-0.05,-0.05,-0.03,0.15,0.04,1,95.51,95.86,0,-0.13,16.64,96.18,95.84,-0.01,-0.02,0.06,0.03,0,0,0,
09/01/1998,1,-1,-1,1,1,1,1,1,34.95,11.45,36.83,59.21,0,-88.55,7.7,7.31,0.39,0.31,0.08,0.16,0,-0.06,-0.12,-0.11,-0.12,-0.11,-0.1,0.06,0.08,1,91.45,90.59,-0.01,0.14,-80.38,93.31,91.38,-0.02,-0.03,0.1,0.05,0,0,0,
12/01/1998,1,1,1,1,1,1,1,1,25.52,9.27,13.26,36.15,0,-90.73,7.62,7.3,0.32,0.34,-0.02,0.08,-1,-0.03,-0.09,-0.15,-0.14,-0.15,-0.13,0.03,0.07,1,91.5,88.99,-0.03,0.17,-148.86,94.12,90.64,-0.03,0.01,0.06,0.06,0,0,0,
13/01/1998,1,1,1,1,1,1,1,1,32.32,19.21,13.31,21.13,1,-80.79,7.55,7.31,0.25,0.35,-0.11,-0.02,0,0.02,-0.01,-0.07,-0.13,-0.12,-0.1,0.04,-0.12,-1,95.89,91.85,-0.04,1.41,-137.15,98.4,94.23,0.01,0.05,0.02,0.06,0,0,0,
14/01/1998,-1,-1,1,1,1,1,1,1,47.47,56.95,28.48,18.35,0,-43.05,7.53,7.34,0.19,0.35,-0.16,-0.11,0,0.08,0.11,0.07,0,-0.06,-0.03,0.07,-0.07,-1,105.14,99.79,-0.05,1.25,-45.23,105.14,102.11,0.05,-0.02,0.08,0.06,0,0,0,
15/01/1998,1,1,1,1,1,1,1,1,42.88,44.37,40.18,27.32,0,-55.63,7.5,7.37,0.13,0.33,-0.19,-0.16,0,-0.03,0.05,0.08,0.05,-0.02,-0.07,0.01,0.05,1,102.94,97.97,-0.05,0.23,-53.71,101.64,100.03,-0.02,0.01,0.04,0.06,0,0,0,
16/01/1998,1,1,1,1,1,1,1,-1,55.41,93.38,64.9,44.52,0,-6.62,7.52,7.43,0.1,0.3,-0.2,-0.19,0,0.1,0.07,0.16,0.19,0.15,0.02,0.1,-0.13,-1,110.09,107.67,-0.02,1.06,53.45,107.23,108.59,0.01,0.01,0.1,0.06,0,0,0,
19/01/1998,0,1,1,1,-1,-1,-1,-1,62.88,98.51,78.75,61.28,0,-1.49,7.59,7.5,0.08,0.26,-0.18,-0.2,0,0.07,0.18,0.15,0.25,0.27,0.09,0.14,-0.24,-1,112.34,114.4,0.02,1.11,195.49,108.61,113.22,0.01,0,0.07,0.06,0,0,0,
20/01/1998,1,1,1,-1,-1,-1,-1,-1,62.09,100,97.3,80.32,0,0,7.65,7.58,0.07,0.22,-0.15,-0.18,0,0,0.08,0.19,0.16,0.25,0.1,0.12,-0.09,-1,107.87,113.56,0.05,0.16,192.96,104.69,110.67,0,0.02,0.02,0.06,0,0,0,
21/01/1998,-1,-1,-1,-1,-1,-1,-1,-1,65.98,91.32,96.61,90.89,-1,-8.68,7.76,7.68,0.08,0.18,-0.1,-0.15,0,0.07,0.07,0.15,0.27,0.24,0.16,0.21,-0.64,-1,110.59,119.52,0.07,1.23,257.22,106.74,114.12,0.02,-0.01,0.08,0.06,0,0,0,
22/01/1998,-1,-1,-1,-1,-1,-1,-1,-1,60.05,73.61,88.31,94.07,0,-26.39,7.84,7.75,0.09,0.15,-0.06,-0.1,0,-0.06,0.01,0.02,0.09,0.2,0.17,0.14,0.73,1,100.99,111.08,0.09,-0.26,164.57,99.42,105.46,-0.01,0,0.05,0.06,0,0,0,
23/01/1998,-1,-1,-1,-1,-1,1,-1,-1,55.57,60.42,75.12,86.68,0,-39.58,7.87,7.8,0.08,0.12,-0.04,-0.06,0,-0.04,-0.1,-0.03,-0.03,0.04,0.2,0.08,0.33,1,95.87,104.41,0.08,-0.02,84.7,96.17,99.8,0,-0.01,0.06,0.06,0,0,0,
