open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
104.80,	105.56,	104.43,	104.82,	71750.00,	40.20,	-59.80,	-0.00256923,	-140000.00,	84.72,	95.84,	105.78,	106.75,	62.94,	106.61,	106.46,	-1,	-1,	1
106.40,	107.19,	106.00,	106.61,	111250.00,	65.81,	-34.19,	0.00813239,	-28750.00,	84.67,	95.54,	105.98,	106.41,	96.61,	106.23,	106.60,	1,	1,	1
106.79,	106.94,	106.06,	106.64,	58500.00,	56.30,	-43.70,	-0.00271205,	29750.00,	84.84,	95.44,	106.12,	106.14,	98.64,	106.00,	106.58,	1,	1,	-1
106.24,	107.96,	106.23,	107.80,	156750.00,	77.78,	-22.22,	0.01842230,	186500.00,	84.78,	95.40,	105.83,	105.95,	103.65,	105.86,	106.66,	1,	-1,	1
108.40,	108.70,	107.53,	108.30,	120750.00,	87.04,	-12.96,	0.03319977,	307250.00,	85.17,	95.53,	106.15,	105.92,	95.00,	105.94,	106.66,	1,	1,	-1
107.20,	107.60,	106.80,	107.12,	183250.00,	65.19,	-34.81,	0.00478379,	124000.00,	85.87,	95.78,	107.11,	106.07,	67.39,	106.25,	106.53,	-1,	-1,	-1
107.01,	108.20,	106.66,	107.65,	210750.00,	79.41,	-20.59,	0.00947112,	334750.00,	85.97,	95.98,	107.40,	106.36,	70.25,	106.48,	106.35,	1,	-1,	1
107.60,	107.60,	106.70,	107.06,	158750.00,	67.84,	-32.16,	-0.00686456,	176000.00,	86.17,	96.17,	107.78,	106.58,	74.31,	106.49,	106.26,	-1,	1,	-1
106.84,	106.84,	105.16,	106.62,	90750.00,	59.22,	-40.78,	-0.01551247,	85250.00,	86.03,	96.18,	107.65,	106.58,	77.89,	106.63,	106.23,	-1,	-1,	-1
106.22,	107.60,	106.00,	107.34,	59500.00,	73.33,	-26.67,	0.00205377,	144750.00,	85.69,	96.26,	107.19,	106.77,	79.23,	107.06,	106.30,	1,	-1,	1
106.85,	107.20,	106.04,	106.20,	43750.00,	50.98,	-49.02,	-0.01346958,	101000.00,	85.73,	96.51,	107.22,	107.22,	77.55,	107.31,	106.52,	-1,	1,	-1
