open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
77.20,	77.71,	76.31,	76.89,	1576250.00,	84.99,	-15.01,	0.01038108,	10281250.00,	77.02,	76.16,	76.85,	75.67,	66.86,	75.87,	73.54,	-1,	-1,	-1
79.00,	79.95,	76.99,	77.51,	2442500.00,	78.98,	-21.02,	0.01069240,	12723750.00,	77.30,	76.46,	77.25,	76.02,	76.10,	76.22,	74.23,	1,	1,	-1
76.80,	78.40,	76.42,	78.12,	1446250.00,	82.25,	-17.75,	0.00488809,	14170000.00,	77.58,	76.79,	77.54,	76.37,	79.78,	76.53,	74.89,	1,	-1,	1
78.40,	79.72,	77.80,	79.52,	2297500.00,	94.85,	-5.15,	0.02395055,	16467500.00,	77.94,	77.20,	77.61,	76.69,	82.26,	76.81,	75.53,	1,	1,	1
79.77,	79.98,	78.50,	79.29,	4102500.00,	91.62,	-8.38,	0.03121342,	12365000.00,	78.27,	77.52,	77.81,	76.95,	88.05,	77.20,	76.08,	-1,	1,	-1
78.98,	79.48,	72.00,	79.22,	2367500.00,	90.48,	-9.52,	0.02206167,	9997500.00,	78.73,	77.87,	78.43,	77.35,	89.56,	77.60,	76.46,	-1,	-1,	1
79.00,	79.99,	78.50,	79.86,	2818750.00,	98.37,	-1.63,	0.02227343,	12816250.00,	79.20,	78.25,	78.99,	77.75,	88.11,	77.96,	76.83,	1,	1,	1
78.20,	78.78,	76.80,	77.17,	1582500.00,	64.71,	-35.29,	-0.02955231,	11233750.00,	79.01,	78.30,	79.29,	78.04,	86.36,	78.05,	77.08,	-1,	-1,	-1
77.21,	77.36,	75.36,	75.54,	1177500.00,	44.31,	-55.69,	-0.04729474,	10056250.00,	78.22,	78.08,	78.85,	78.10,	85.44,	78.04,	77.22,	-1,	-1,	-1
76.00,	76.39,	75.40,	76.09,	1137500.00,	51.19,	-48.81,	-0.03951022,	11193750.00,	77.58,	77.92,	78.28,	78.15,	76.55,	78.22,	77.45,	1,	-1,	1
76.28,	76.98,	76.20,	76.68,	1273750.00,	58.57,	-41.43,	-0.03981968,	12467500.00,	77.07,	77.90,	77.56,	78.33,	71.17,	78.38,	77.67,	1,	1,	1
77.18,	77.51,	75.65,	76.03,	1280000.00,	50.44,	-49.56,	-0.01477258,	11187500.00,	76.30,	77.75,	76.38,	78.37,	66.18,	78.39,	77.81,	-1,	1,	-1
76.16,	77.39,	76.00,	77.02,	1250000.00,	62.83,	-37.17,	0.01959227,	12437500.00,	76.27,	77.64,	76.08,	78.29,	66.67,	78.11,	77.82,	1,	-1,	1
77.20,	77.80,	76.61,	77.14,	778750.00,	64.33,	-35.67,	0.01379945,	13216250.00,	76.59,	77.40,	76.43,	77.90,	67.28,	77.75,	77.83,	1,	1,	-1
77.38,	78.50,	77.02,	77.36,	1470000.00,	67.08,	-32.92,	0.00886802,	14686250.00,	76.85,	77.21,	76.68,	77.52,	70.62,	77.34,	77.96,	1,	1,	-1
77.60,	79.58,	77.40,	79.16,	2797500.00,	89.61,	-10.39,	0.04116796,	17483750.00,	77.34,	77.20,	76.90,	77.16,	68.85,	76.78,	78.08,	1,	1,	1
79.60,	81.49,	79.60,	81.17,	3145000.00,	96.63,	-3.37,	0.05388211,	20628750.00,	78.37,	77.34,	77.68,	76.70,	68.08,	76.71,	78.17,	1,	1,	1
81.10,	81.15,	79.24,	79.71,	2127500.00,	81.24,	-18.76,	0.03331605,	18501250.00,	78.91,	77.59,	78.31,	76.78,	71.53,	77.06,	78.01,	-1,	1,	-1
80.80,	80.88,	79.01,	79.28,	1696250.00,	76.71,	-23.29,	0.02481903,	16805000.00,	79.34,	77.96,	79.04,	77.22,	72.14,	77.44,	77.83,	-1,	-1,	-1
79.70,	83.69,	78.60,	83.23,	4818750.00,	96.07,	-3.93,	0.05141486,	21623750.00,	80.51,	78.68,	80.09,	77.69,	76.26,	77.91,	77.73,	1,	-1,	1
83.60,	85.50,	83.20,	85.21,	4058750.00,	97.14,	-2.86,	0.04977208,	25682500.00,	81.72,	79.53,	80.95,	78.21,	79.30,	78.67,	77.57,	1,	1,	1
85.20,	85.80,	84.28,	84.69,	3242500.00,	89.37,	-10.63,	0.06247648,	22440000.00,	82.42,	80.40,	81.36,	79.00,	85.13,	79.42,	77.76,	-1,	1,	-1
85.20,	85.20,	82.70,	82.93,	2763750.00,	72.51,	-27.49,	0.04603935,	19676250.00,	83.07,	80.99,	82.48,	79.72,	73.87,	80.17,	78.23,	-1,	0,	-1
83.62,	84.29,	82.68,	82.90,	2068750.00,	72.12,	-27.88,	-0.00396492,	17607500.00,	83.79,	81.56,	83.99,	80.52,	68.48,	81.04,	78.72,	-1,	-1,	-1
83.20,	83.60,	80.20,	80.89,	2302500.00,	51.63,	-48.37,	-0.05069827,	15305000.00,	83.32,	81.92,	84.02,	81.35,	68.49,	81.63,	79.13,	-1,	-1,	-1
81.30,	82.99,	80.70,	82.78,	2021250.00,	70.25,	-29.75,	-0.02255284,	17326250.00,	82.84,	82.28,	83.23,	81.92,	71.61,	81.91,	79.73,	1,	-1,	1
83.40,	83.69,	81.50,	82.31,	2603750.00,	64.39,	-35.61,	-0.00747618,	14722500.00,	82.36,	82.39,	82.45,	82.14,	69.82,	82.43,	80.28,	-1,	1,	-1
82.85,	83.69,	81.53,	83.50,	2206250.00,	74.97,	-25.03,	0.00723764,	16928750.00,	82.48,	82.77,	82.30,	82.70,	75.04,	83.28,	80.89,	1,	-1,	1
82.44,	84.20,	82.06,	83.62,	1918750.00,	75.17,	-24.83,	0.03374954,	18847500.00,	82.62,	83.21,	82.21,	83.41,	77.15,	83.53,	81.56,	1,	-1,	1
83.20,	84.10,	82.78,	83.14,	1900000.00,	68.33,	-31.67,	0.00434888,	16947500.00,	83.07,	83.20,	82.93,	83.41,	73.23,	83.18,	82.05,	-1,	1,	-1
83.63,	84.48,	82.72,	83.02,	3068750.00,	61.39,	-38.61,	0.00862593,	13878750.00,	83.12,	82.98,	83.05,	83.00,	68.09,	82.75,	82.27,	-1,	1,	-1
83.49,	83.79,	82.50,	82.96,	2278750.00,	60.56,	-39.44,	-0.00646707,	11600000.00,	83.25,	82.81,	83.36,	82.66,	64.99,	82.61,	82.68,	-1,	-1,	-1
83.18,	85.60,	83.01,	85.24,	3272500.00,	92.22,	-7.78,	0.01937336,	14872500.00,	83.60,	83.04,	83.39,	82.68,	63.89,	82.64,	83.31,	1,	-1,	1
83.60,	84.86,	83.20,	84.23,	1883750.00,	78.19,	-21.81,	0.01311042,	12988750.00,	83.72,	83.17,	83.42,	82.73,	69.05,	83.06,	83.44,	-1,	1,	1
84.60,	85.57,	84.10,	85.18,	1860000.00,	88.93,	-11.07,	0.02601783,	14848750.00,	84.13,	83.60,	83.75,	83.22,	74.10,	83.33,	83.24,	1,	1,	1
85.62,	86.40,	84.60,	84.95,	2832500.00,	76.61,	-23.39,	0.02398746,	12016250.00,	84.51,	83.82,	84.25,	83.41,	79.61,	83.63,	83.02,	-1,	1,	-1
85.55,	86.60,	85.42,	85.94,	2091250.00,	89.69,	-10.31,	0.00821211,	14107500.00,	85.11,	84.18,	84.97,	83.75,	85.58,	83.83,	83.07,	1,	-1,	1
85.82,	86.07,	81.68,	82.50,	2005000.00,	35.94,	-64.06,	-0.02053900,	12102500.00,	84.56,	84.08,	84.74,	83.85,	92.44,	83.84,	83.08,	-1,	1,	-1
83.00,	84.01,	82.90,	83.48,	1401250.00,	51.25,	-48.75,	-0.01995774,	13503750.00,	84.41,	84.06,	84.80,	83.93,	91.06,	83.98,	83.42,	1,	-1,	1
84.80,	88.75,	84.40,	87.86,	5181250.00,	88.94,	-11.06,	0.03425544,	18685000.00,	84.95,	84.54,	84.72,	84.19,	85.66,	84.39,	83.68,	1,	1,	1
