open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
1246.00,	1262.95,	1220.25,	1227.40,	241783.00,	40.51,	-59.49,	0.01400306,	-9674172.00,	1234.52,	1216.29,	1229.10,	1206.55,	91.00,	1209.32,	1230.64,	-1,	-1,	-1
1227.00,	1240.00,	1222.20,	1230.60,	162751.00,	46.28,	-53.72,	0.01572366,	-9511421.00,	1238.55,	1219.92,	1238.47,	1211.21,	84.80,	1214.33,	1221.63,	1,	-1,	1
1230.60,	1259.00,	1230.60,	1253.90,	388696.00,	71.10,	-28.90,	-0.00822590,	-9122725.00,	1247.02,	1225.95,	1250.29,	1217.10,	80.63,	1218.62,	1216.69,	1,	1,	1
1250.10,	1259.00,	1237.00,	1252.75,	226075.00,	70.13,	-29.87,	-0.00488522,	-9348800.00,	1244.71,	1230.50,	1243.76,	1221.33,	77.79,	1222.55,	1214.95,	-1,	1,	1
1259.00,	1291.00,	1242.00,	1254.70,	214015.00,	70.00,	-30.00,	0.02224214,	-9134785.00,	1243.87,	1235.02,	1238.75,	1225.95,	74.63,	1232.29,	1214.53,	1,	1,	-1
1260.00,	1274.00,	1245.05,	1265.00,	405058.00,	78.51,	-21.49,	0.02795384,	-8729727.00,	1251.39,	1242.96,	1246.75,	1236.38,	75.58,	1240.82,	1218.56,	1,	1,	1
1266.90,	1280.00,	1254.15,	1267.55,	173628.00,	80.62,	-19.38,	0.01088604,	-8556099.00,	1258.78,	1248.66,	1256.14,	1243.33,	75.12,	1249.72,	1224.00,	1,	1,	1
1268.00,	1268.00,	1235.55,	1246.45,	223648.00,	63.18,	-36.82,	-0.00502894,	-8779747.00,	1257.29,	1252.16,	1257.27,	1250.71,	76.29,	1248.71,	1227.72,	-1,	1,	-1
1246.45,	1259.00,	1204.95,	1252.80,	118649.00,	68.43,	-31.57,	-0.00151431,	-8661098.00,	1257.30,	1251.00,	1258.79,	1248.29,	75.20,	1245.89,	1231.46,	1,	-1,	1
1255.00,	1270.00,	1252.25,	1262.60,	214946.00,	76.53,	-23.47,	-0.00189723,	-8446152.00,	1258.88,	1251.38,	1260.18,	1246.92,	72.59,	1249.69,	1239.41,	1,	1,	1
1254.05,	1264.00,	1237.85,	1259.10,	185130.00,	72.74,	-27.26,	-0.00666640,	-8631282.00,	1257.70,	1254.55,	1257.75,	1251.86,	68.96,	1255.30,	1245.38,	-1,	-1,	1
1260.00,	1294.00,	1159.00,	1287.80,	290295.00,	95.41,	-4.59,	0.03317421,	-8340987.00,	1261.75,	1260.26,	1255.82,	1257.25,	58.48,	1258.33,	1252.18,	1,	1,	1
1290.05,	1330.00,	1284.90,	1320.70,	502590.00,	94.56,	-5.44,	0.05419860,	-7838397.00,	1276.60,	1266.95,	1265.87,	1259.62,	44.52,	1262.34,	1253.14,	1,	1,	1
1285.00,	1348.00,	1285.00,	1338.05,	288929.00,	94.74,	-5.26,	0.05975764,	-7549468.00,	1293.65,	1275.47,	1279.48,	1263.76,	32.26,	1267.62,	1254.21,	1,	-1,	1
1330.00,	1382.75,	1330.00,	1375.10,	552837.00,	96.58,	-3.42,	0.09212930,	-6996631.00,	1316.15,	1287.51,	1297.33,	1269.72,	21.99,	1273.38,	1261.06,	1,	1,	1
1370.00,	1370.00,	1316.30,	1323.95,	269799.00,	73.72,	-26.28,	0.02807113,	-7266430.00,	1329.12,	1293.41,	1320.67,	1274.89,	13.60,	1277.16,	1267.87,	-1,	1,	-1
1323.00,	1334.60,	1291.35,	1303.10,	266275.00,	64.40,	-35.60,	-0.01332627,	-7532705.00,	1332.18,	1296.97,	1335.47,	1280.24,	17.63,	1285.16,	1271.67,	-1,	-1,	-1
1309.00,	1332.80,	1305.50,	1323.95,	242009.00,	73.72,	-26.28,	-0.01053772,	-7290696.00,	1332.83,	1304.72,	1339.51,	1290.83,	28.09,	1295.67,	1276.16,	1,	-1,	1
1301.00,	1341.00,	1301.00,	1339.20,	162346.00,	80.54,	-19.46,	-0.02610719,	-7128350.00,	1333.06,	1313.36,	1337.85,	1301.84,	38.23,	1306.77,	1281.43,	1,	-1,	1
