open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
1964.55,	1976.00,	1950.10,	1967.20,	5362625.00,	66.81,	-33.19,	-0.00603795,	6788700.00,	1586.56,	1777.85,	1982.76,	1971.79,	70.96,	1975.49,	1937.77,	-1,	-1,	1
1982.00,	1992.75,	1975.00,	1978.25,	3283350.00,	75.00,	-25.00,	0.00083477,	10072050.00,	1584.17,	1779.65,	1982.21,	1976.82,	75.35,	1978.24,	1946.98,	1,	1,	-1
1974.00,	1993.00,	1964.00,	1987.70,	4171325.00,	81.78,	-18.22,	-0.00734119,	14243375.00,	1584.50,	1780.68,	1983.48,	1978.79,	75.50,	1977.13,	1955.38,	1,	-1,	1
1988.15,	2013.90,	1982.00,	2010.15,	3788450.00,	98.36,	-1.64,	0.01797787,	18031825.00,	1581.56,	1780.84,	1975.16,	1977.58,	74.66,	1978.47,	1965.28,	1,	1,	1
2015.15,	2028.90,	2004.60,	2026.10,	3807750.00,	110.83,	10.83,	0.02994103,	21839575.00,	1588.66,	1784.75,	1980.89,	1980.29,	70.12,	1982.13,	1973.15,	1,	1,	1
2015.60,	2040.95,	2015.00,	2037.35,	3680350.00,	109.51,	9.51,	0.02987489,	25519925.00,	1600.44,	1790.22,	1994.62,	1984.27,	67.85,	1985.75,	1979.30,	1,	1,	1
2038.70,	2075.45,	2032.00,	2072.00,	3426500.00,	131.38,	31.38,	0.04241083,	28946425.00,	1612.26,	1796.04,	2009.44,	1988.09,	66.42,	1990.86,	1983.46,	1,	1,	1
2043.40,	2070.90,	2042.00,	2047.45,	4385175.00,	77.66,	-22.34,	0.01855583,	24561250.00,	1629.12,	1805.58,	2029.37,	1994.79,	72.57,	1993.51,	1986.09,	-1,	1,	1
2046.20,	2055.50,	2032.60,	2042.20,	3112600.00,	73.47,	-26.53,	0.00794630,	21448650.00,	1636.58,	1810.09,	2042.20,	1997.09,	75.11,	1999.94,	1990.15,	-1,	1,	-1
2039.00,	2066.50,	2036.05,	2063.00,	3081450.00,	90.07,	-9.93,	0.01258988,	24530100.00,	1639.80,	1816.84,	2050.11,	2005.69,	77.45,	2010.77,	1994.96,	1,	-1,	1
2062.70,	2076.00,	2055.60,	2061.10,	3146725.00,	88.55,	-11.45,	-0.00526062,	21383375.00,	1644.93,	1826.42,	2057.31,	2017.82,	79.61,	2023.15,	1999.92,	-1,	1,	-1
2066.00,	2069.00,	2036.25,	2038.10,	3470350.00,	69.90,	-30.10,	-0.00456666,	17913025.00,	1642.75,	1834.71,	2051.23,	2029.40,	79.10,	2035.48,	2005.72,	-1,	1,	-1
2035.00,	2079.50,	2034.10,	2075.85,	3743875.00,	99.88,	-0.12,	0.01647733,	21656900.00,	1640.88,	1839.75,	2051.61,	2039.75,	84.58,	2043.92,	2007.88,	1,	-1,	1
2070.00,	2075.00,	2063.10,	2067.30,	1223150.00,	90.57,	-9.43,	0.00208434,	20433750.00,	1647.61,	1846.31,	2058.96,	2047.85,	84.67,	2051.46,	2014.99,	-1,	1,	-1
2065.00,	2093.50,	2064.00,	2072.35,	3505000.00,	94.47,	-5.53,	0.00545825,	23938750.00,	1648.47,	1850.43,	2058.57,	2053.60,	84.07,	2056.85,	2024.63,	1,	-1,	1
2070.00,	2088.40,	2064.30,	2082.90,	2802625.00,	91.81,	-8.19,	0.02198126,	26741375.00,	1650.72,	1853.93,	2060.04,	2058.01,	80.11,	2055.54,	2034.33,	1,	1,	1
2087.00,	2097.90,	2080.05,	2094.35,	3534550.00,	100.66,	0.66,	0.00891201,	30275925.00,	1659.68,	1855.03,	2073.66,	2056.41,	73.18,	2057.77,	2044.07,	1,	1,	1
2093.00,	2094.00,	2077.00,	2082.10,	2919175.00,	86.37,	-13.63,	0.00715910,	27356750.00,	1663.38,	1859.71,	2075.95,	2060.42,	74.11,	2063.70,	2051.98,	-1,	1,	-1
2084.00,	2099.00,	2065.30,	2071.55,	3977900.00,	71.76,	-28.24,	-0.00038604,	23378850.00,	1666.34,	1863.70,	2081.47,	2065.93,	76.74,	2066.09,	2057.74,	-1,	-1,	-1
2078.00,	2087.85,	2059.25,	2082.60,	3543950.00,	80.48,	-19.52,	-0.00014403,	26922800.00,	1666.18,	1864.56,	2084.38,	2067.54,	75.71,	2067.64,	2061.95,	1,	-1,	1
2085.15,	2098.00,	2075.15,	2094.65,	3505700.00,	93.51,	-6.49,	0.00014324,	30428500.00,	1666.12,	1866.71,	2084.29,	2070.11,	80.24,	2075.22,	2061.67,	1,	1,	1
2099.00,	2112.90,	2090.10,	2110.35,	2908100.00,	117.09,	17.09,	0.01356803,	33336600.00,	1666.18,	1872.37,	2080.99,	2078.21,	76.50,	2078.30,	2064.52,	1,	1,	1
2112.30,	2114.50,	2093.00,	2100.45,	4241225.00,	84.50,	-15.50,	0.01395091,	29095375.00,	1671.83,	1875.81,	2085.20,	2080.24,	72.87,	2082.53,	2069.62,	-1,	1,	-1
2101.00,	2112.30,	2087.10,	2108.20,	3927925.00,	92.16,	-7.84,	0.01229233,	33023300.00,	1677.61,	1879.13,	2094.54,	2084.30,	65.92,	2086.58,	2072.19,	1,	-1,	1
2124.00,	2134.00,	2114.05,	2117.95,	3054625.00,	104.29,	4.29,	0.01112358,	36077925.00,	1682.73,	1882.72,	2102.31,	2088.22,	59.14,	2089.36,	2075.14,	1,	1,	-1
2119.00,	2150.95,	2110.55,	2148.55,	3186450.00,	114.56,	14.56,	0.01810126,	39264375.00,	1687.39,	1886.22,	2108.15,	2091.02,	60.13,	2090.18,	2082.26,	1,	-1,	1
2150.55,	2177.00,	2150.55,	2164.85,	4265600.00,	111.90,	11.90,	0.03066010,	43529975.00,	1695.03,	1891.64,	2113.29,	2093.27,	57.83,	2094.79,	2086.27,	1,	1,	1
2171.15,	2174.35,	2155.00,	2168.30,	2966800.00,	92.61,	-7.39,	0.02850773,	46496775.00,	1707.91,	1899.91,	2127.72,	2099.62,	59.00,	2104.29,	2091.69,	1,	1,	-1
2148.40,	2187.35,	2145.00,	2178.50,	4594275.00,	101.27,	1.27,	0.02858897,	51091050.00,	1719.93,	1909.59,	2143.94,	2109.78,	53.67,	2114.32,	2097.44,	1,	-1,	1
2171.00,	2199.00,	2163.25,	2180.65,	4265850.00,	94.77,	-5.23,	0.01494031,	55356900.00,	1732.04,	1919.18,	2161.72,	2119.86,	51.48,	2123.85,	2102.64,	1,	1,	1
2180.00,	2185.40,	2165.00,	2167.20,	3584625.00,	77.25,	-22.75,	0.00108553,	51772275.00,	1738.46,	1927.78,	2171.02,	2129.34,	55.81,	2131.51,	2106.68,	-1,	1,	-1
2167.40,	2198.30,	2135.00,	2195.15,	3482275.00,	97.25,	-2.75,	0.01238297,	55254550.00,	1738.93,	1933.47,	2173.70,	2136.72,	56.99,	2141.38,	2112.44,	1,	-1,	1
2199.90,	2224.00,	2198.00,	2219.20,	3380825.00,	114.45,	14.45,	0.01868258,	58635375.00,	1744.30,	1942.93,	2179.07,	2148.20,	61.69,	2153.83,	2121.72,	1,	1,	1
2189.05,	2211.70,	2182.00,	2206.85,	3155800.00,	89.59,	-10.41,	0.01201477,	55479575.00,	1752.44,	1954.04,	2185.42,	2160.75,	57.95,	2167.76,	2131.67,	-1,	-1,	1
2210.00,	2227.00,	2202.00,	2223.90,	2441750.00,	99.93,	-0.07,	0.02616279,	57921325.00,	1757.68,	1962.92,	2191.99,	2172.90,	53.42,	2176.93,	2140.61,	1,	1,	1
2223.00,	2228.70,	2193.30,	2196.95,	4099975.00,	78.52,	-21.48,	0.00081999,	53821350.00,	1769.02,	1970.46,	2208.64,	2181.11,	59.95,	2183.71,	2148.70,	-1,	1,	-1
2204.85,	2227.00,	2201.20,	2223.45,	3142550.00,	96.29,	-3.71,	0.00191510,	56963900.00,	1769.38,	1973.67,	2213.50,	2186.39,	69.10,	2188.86,	2158.25,	1,	-1,	1
2222.00,	2225.00,	2156.15,	2164.80,	6909625.00,	54.87,	-45.13,	-0.01905431,	50054275.00,	1770.23,	1979.19,	2211.97,	2192.54,	79.80,	2194.15,	2169.03,	-1,	1,	-1
2176.15,	2194.00,	2167.15,	2188.55,	5398500.00,	66.02,	-33.98,	-0.01589550,	55452775.00,	1761.82,	1977.82,	2207.66,	2195.47,	81.22,	2196.43,	2177.97,	1,	-1,	1
2197.95,	2214.80,	2196.00,	2209.15,	2563850.00,	83.45,	-16.55,	0.00555315,	58016625.00,	1754.75,	1978.61,	2196.43,	2198.58,	84.55,	2203.27,	2184.11,	1,	1,	1
2206.00,	2227.00,	2178.80,	2214.45,	5451975.00,	84.79,	-15.21,	-0.00404776,	63468600.00,	1757.19,	1982.80,	2197.17,	2205.34,	81.55,	2207.46,	2188.58,	1,	1,	1
2212.00,	2223.80,	2186.35,	2191.90,	4399700.00,	60.73,	-39.27,	0.01251848,	59068900.00,	1755.39,	1984.73,	2188.18,	2207.38,	79.28,	2206.02,	2192.94,	-1,	1,	-1
2197.95,	2199.00,	2166.60,	2171.90,	4702875.00,	39.38,	-60.62,	-0.00760778,	54366025.00,	1760.81,	1982.00,	2200.46,	2204.05,	79.50,	2204.31,	2195.65,	-1,	-1,	-1
2175.10,	2209.80,	2165.55,	2202.95,	4151175.00,	72.52,	-27.48,	-0.00280651,	58517200.00,	1757.48,	1978.51,	2201.65,	2201.98,	71.28,	2198.20,	2197.58,	1,	-1,	1
2222.30,	2287.00,	2208.00,	2234.70,	3576325.00,	106.40,	6.40,	0.00914448,	62093525.00,	1756.24,	1976.41,	2197.25,	2196.95,	64.88,	2197.21,	2202.67,	1,	1,	1
2232.90,	2241.90,	2225.10,	2236.30,	2720025.00,	66.64,	-33.36,	0.02025640,	64813550.00,	1760.29,	1980.19,	2194.67,	2198.19,	64.90,	2193.54,	2205.60,	1,	1,	1
2243.50,	2248.00,	2234.00,	2238.40,	2418950.00,	62.86,	-37.14,	0.03061835,	67232500.00,	1769.17,	1981.47,	2203.43,	2194.79,	68.51,	2200.27,	2204.75,	1,	1,	-1
2244.70,	2246.00,	2217.00,	2226.60,	3472200.00,	53.84,	-46.16,	0.01073560,	63760300.00,	1782.47,	1988.83,	2224.23,	2203.66,	70.26,	2206.92,	2205.10,	-1,	1,	-1
2225.10,	2268.00,	2222.00,	2265.75,	4111325.00,	83.76,	-16.24,	0.01389448,	67871625.00,	1787.20,	1992.63,	2234.79,	2208.61,	75.03,	2208.57,	2202.91,	1,	-1,	1
2271.35,	2287.95,	2266.55,	2286.10,	2958500.00,	99.31,	-0.69,	0.02226893,	70830125.00,	1793.41,	1998.30,	2239.03,	2211.52,	78.43,	2210.30,	2205.16,	1,	1,	1
2289.00,	2309.00,	2274.15,	2299.30,	4445625.00,	108.61,	8.61,	0.02720693,	75275750.00,	1803.37,	2005.46,	2247.70,	2215.15,	72.57,	2218.07,	2205.06,	1,	1,	1
2300.00,	2324.50,	2292.05,	2320.15,	3093050.00,	107.29,	7.29,	0.04201473,	78368800.00,	1815.55,	2016.20,	2260.92,	2225.20,	70.77,	2233.93,	2213.42,	1,	1,	1
2299.00,	2312.40,	2281.90,	2310.00,	3066050.00,	90.88,	-9.12,	0.01952996,	75302750.00,	1834.26,	2031.03,	2286.53,	2242.07,	65.78,	2248.86,	2221.48,	-1,	-1,	1
2310.10,	2353.00,	2310.10,	2349.85,	2836200.00,	115.95,	15.95,	0.02788592,	78138950.00,	1843.11,	2041.73,	2300.58,	2255.00,	48.82,	2257.88,	2226.76,	1,	1,	1
2357.70,	2365.90,	2336.00,	2341.10,	5020925.00,	93.65,	-6.35,	0.01817945,	73118025.00,	1855.86,	2053.24,	2314.77,	2264.91,	37.72,	2268.81,	2232.70,	-1,	1,	-1
2350.00,	2362.25,	2341.00,	2357.75,	3082325.00,	95.93,	-4.07,	0.01620585,	76200350.00,	1864.22,	2063.72,	2326.61,	2276.30,	31.84,	2281.15,	2242.44,	1,	-1,	1
2350.00,	2359.00,	2345.60,	2349.85,	3016250.00,	91.99,	-8.01,	0.01725108,	73184100.00,	1871.74,	2075.66,	2334.87,	2289.83,	26.69,	2299.54,	2257.60,	-1,	0,	-1
2345.00,	2351.20,	2308.75,	2315.50,	4429000.00,	74.84,	-25.16,	-0.01461795,	68755100.00,	1879.71,	2087.98,	2349.04,	2307.67,	24.00,	2313.83,	2270.55,	-1,	-1,	-1
2315.00,	2329.95,	2290.35,	2305.35,	5520975.00,	61.65,	-38.35,	-0.01527060,	63234125.00,	1872.84,	2092.96,	2344.08,	2318.56,	28.37,	2322.75,	2278.86,	-1,	-1,	-1
2316.00,	2365.00,	2312.10,	2359.95,	4935725.00,	96.00,	-4.00,	0.00093309,	68169850.00,	1865.69,	2094.88,	2338.95,	2325.84,	31.03,	2329.06,	2287.04,	1,	1,	1
2365.00,	2388.70,	2352.60,	2380.90,	4658925.00,	110.07,	10.07,	0.01321361,	72828775.00,	1866.13,	2100.95,	2331.94,	2332.81,	39.57,	2334.38,	2297.68,	1,	1,	1
2383.00,	2383.85,	2354.00,	2360.45,	4095900.00,	83.55,	-16.45,	0.01941265,	68732875.00,	1872.34,	2107.03,	2331.47,	2337.43,	52.03,	2342.97,	2312.17,	-1,	1,	-1
2366.35,	2371.35,	2352.00,	2364.55,	2943950.00,	85.51,	-14.49,	0.02567940,	71676825.00,	1881.33,	2112.07,	2345.01,	2344.49,	58.62,	2344.34,	2322.58,	1,	-1,	-1
2353.10,	2408.70,	2348.55,	2404.60,	4144325.00,	113.02,	13.02,	0.01891989,	75821150.00,	1893.17,	2113.54,	2366.70,	2344.52,	64.24,	2345.80,	2330.63,	1,	-1,	1
2410.50,	2420.00,	2375.60,	2382.85,	5555050.00,	80.79,	-19.21,	0.00081902,	70266100.00,	1902.10,	2119.89,	2374.94,	2348.08,	68.95,	2346.61,	2338.58,	-1,	1,	-1
2385.00,	2407.00,	2378.10,	2384.80,	4892925.00,	74.51,	-25.49,	0.01031583,	75159025.00,	1902.49,	2122.40,	2374.28,	2348.63,	72.82,	2347.18,	2343.59,	1,	-1,	-1
2386.10,	2404.00,	2350.25,	2365.55,	4366875.00,	60.57,	-39.43,	0.00042291,	70792150.00,	1907.36,	2125.89,	2382.81,	2351.32,	80.12,	2355.88,	2350.38,	-1,	1,	-1
2366.20,	2372.00,	2323.15,	2326.95,	6409050.00,	28.23,	-71.77,	-0.03229227,	64383100.00,	1907.56,	2130.90,	2388.56,	2360.94,	83.52,	2369.72,	2351.89,	-1,	-1,	-1
2325.10,	2336.00,	2298.00,	2323.15,	5775375.00,	25.30,	-74.70,	-0.02505403,	58607725.00,	1892.03,	2133.06,	2371.71,	2372.12,	82.72,	2373.34,	2352.80,	-1,	-1,	-1
2347.00,	2354.90,	2322.50,	2348.80,	3690050.00,	45.08,	-54.92,	-0.01509561,	62297775.00,	1880.09,	2129.38,	2358.10,	2372.45,	84.67,	2369.83,	2351.46,	1,	1,	1
2335.00,	2345.00,	2316.05,	2335.55,	3742625.00,	34.86,	-65.14,	-0.01268204,	58555150.00,	1872.89,	2126.17,	2343.04,	2368.77,	83.22,	2370.09,	2351.47,	-1,	-1,	1
2327.00,	2327.00,	2287.30,	2309.45,	4463625.00,	14.73,	-85.27,	-0.00752057,	54091525.00,	1866.89,	2123.68,	2331.78,	2368.18,	83.81,	2370.02,	2356.37,	-1,	-1,	-1
2313.00,	2354.65,	2313.00,	2349.90,	3642050.00,	47.17,	-52.83,	0.01151454,	57733575.00,	1863.39,	2118.17,	2331.18,	2365.32,	84.18,	2359.63,	2363.54,	1,	-1,	1
2344.50,	2367.90,	2335.50,	2364.75,	2821925.00,	58.36,	-41.64,	0.00679070,	60555500.00,	1868.74,	2112.70,	2336.74,	2354.78,	82.10,	2351.44,	2365.07,	1,	1,	1
2392.00,	2444.00,	2371.00,	2390.25,	3292075.00,	77.58,	-22.42,	0.02342061,	63847575.00,	1871.93,	2110.89,	2335.34,	2348.21,	70.70,	2343.08,	2362.83,	1,	1,	-1
2395.00,	2412.40,	2379.00,	2408.00,	3862875.00,	77.03,	-22.97,	0.04267250,	67710450.00,	1882.87,	2111.43,	2344.40,	2341.85,	59.43,	2338.27,	2363.57,	1,	1,	1
2408.15,	2431.75,	2407.50,	2412.85,	2876875.00,	80.12,	-19.88,	0.02678837,	70587325.00,	1902.58,	2115.68,	2371.09,	2340.17,	58.53,	2342.82,	2364.83,	1,	1,	1
2420.40,	2426.00,	2405.60,	2422.80,	3286475.00,	86.47,	-13.53,	0.02454805,	73873800.00,	1915.17,	2124.27,	2388.17,	2347.32,	60.45,	2351.73,	2360.37,	1,	1,	1
2430.00,	2448.80,	2428.70,	2445.75,	2637700.00,	101.12,	1.12,	0.02321933,	76511500.00,	1926.78,	2134.23,	2404.81,	2357.20,	70.81,	2357.83,	2357.82,	1,	1,	1
