open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
264.02,	266.75,	263.02,	265.67,	3357500.00,	39.22,	-60.78,	-0.01731089,	11675000.00,	215.00,	242.73,	269.34,	270.19,	71.81,	270.57,	267.74,	1,	-1,	1
267.25,	268.25,	261.58,	262.35,	3606500.00,	17.59,	-82.41,	-0.02519229,	8068500.00,	214.06,	242.50,	268.22,	270.38,	75.48,	270.17,	268.44,	-1,	1,	-1
261.50,	263.65,	257.88,	261.02,	4806750.00,	8.93,	-91.07,	-0.03867118,	3261750.00,	212.70,	241.54,	266.80,	269.62,	67.49,	268.82,	268.92,	-1,	-1,	-1
262.42,	266.27,	262.08,	265.77,	3987750.00,	46.09,	-53.91,	0.00678082,	7249500.00,	210.60,	240.25,	263.69,	268.20,	64.70,	267.98,	269.03,	1,	1,	1
267.25,	267.67,	263.55,	265.92,	3635250.00,	46.96,	-53.04,	0.00094102,	10884750.00,	210.96,	239.89,	263.74,	267.66,	68.82,	267.55,	269.06,	1,	1,	-1
265.05,	267.25,	263.30,	265.63,	3508000.00,	45.27,	-54.73,	0.01250238,	7376750.00,	211.01,	239.57,	263.21,	267.12,	74.56,	266.76,	269.13,	-1,	-1,	1
265.00,	267.13,	263.52,	265.67,	5589750.00,	45.50,	-54.50,	0.01781473,	12966500.00,	211.67,	239.10,	264.09,	266.26,	78.12,	265.98,	268.64,	1,	-1,	1
266.52,	272.00,	266.27,	268.02,	4817000.00,	59.23,	-40.77,	0.00846597,	17783500.00,	212.60,	238.75,	265.77,	265.55,	81.04,	264.58,	267.68,	1,	1,	1
268.00,	269.38,	264.65,	265.30,	2335250.00,	43.34,	-56.66,	-0.00233153,	15448250.00,	213.05,	238.40,	266.08,	264.38,	86.33,	264.48,	267.28,	-1,	1,	-1
266.00,	271.15,	264.08,	269.83,	5315500.00,	82.30,	-17.70,	0.01581147,	20763750.00,	212.92,	238.54,	266.11,	264.58,	87.38,	264.30,	266.91,	1,	-1,	1
