open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
87.80,	88.14,	86.66,	87.47,	5197500.00,	67.03,	-32.97,	0.00888120,	4734000.00,	87.95,	86.71,	87.68,	85.99,	15.37,	86.34,	84.67,	-1,	-1,	-1
87.94,	88.65,	86.80,	87.17,	2720000.00,	63.79,	-36.21,	0.00472568,	2014000.00,	88.04,	87.02,	88.13,	86.54,	17.43,	86.82,	85.12,	-1,	1,	-1
86.90,	87.08,	85.81,	86.52,	2764000.00,	56.79,	-43.21,	-0.03502119,	-750000.00,	87.99,	87.20,	88.54,	86.98,	16.71,	86.91,	85.48,	-1,	-1,	-1
86.60,	87.58,	86.23,	86.60,	1926000.00,	50.44,	-49.56,	-0.02849450,	1176000.00,	87.38,	87.17,	87.78,	87.02,	14.25,	87.15,	85.79,	1,	-1,	0
86.94,	88.93,	86.80,	88.70,	3962500.00,	76.92,	-23.08,	0.01406196,	5138500.00,	87.29,	87.47,	87.17,	87.34,	12.19,	87.54,	86.25,	1,	1,	1
88.40,	89.28,	88.12,	88.68,	2711000.00,	75.43,	-24.57,	0.01732247,	2427500.00,	87.53,	87.74,	87.19,	87.67,	11.20,	87.85,	86.70,	-1,	1,	1
88.22,	90.40,	88.06,	90.15,	2760000.00,	94.95,	-5.05,	0.04195562,	5187500.00,	88.13,	88.09,	87.51,	87.92,	10.26,	88.24,	87.13,	1,	-1,	1
87.19,	87.95,	84.82,	86.20,	3029500.00,	31.60,	-68.40,	-0.00461894,	2158000.00,	88.07,	88.03,	88.02,	88.15,	13.11,	87.94,	87.19,	-1,	-1,	-1
86.20,	86.73,	84.15,	84.46,	3077500.00,	4.86,	-95.14,	-0.04780158,	-919500.00,	87.64,	87.51,	88.37,	87.76,	15.34,	87.45,	87.35,	-1,	-1,	-1
84.50,	85.55,	84.44,	84.78,	2218000.00,	9.87,	-90.13,	-0.04397835,	1298500.00,	86.85,	87.07,	87.75,	87.38,	14.69,	87.24,	87.53,	1,	-1,	1
84.82,	86.20,	84.60,	85.41,	3242500.00,	19.75,	-80.25,	-0.05257903,	4541000.00,	86.20,	86.87,	86.93,	87.27,	16.13,	87.16,	87.63,	1,	1,	1
85.90,	86.14,	84.62,	84.89,	2002000.00,	11.60,	-88.40,	-0.01519722,	2539000.00,	85.15,	86.64,	85.26,	87.18,	19.35,	87.20,	87.71,	-1,	1,	-1
84.90,	85.56,	84.23,	85.31,	1410500.00,	18.18,	-81.82,	0.01006394,	3949500.00,	84.97,	86.52,	84.85,	87.18,	29.73,	87.28,	87.38,	1,	-1,	1
85.68,	85.68,	84.80,	85.11,	656000.00,	15.05,	-84.95,	0.00389243,	3293500.00,	85.10,	86.37,	85.06,	87.13,	44.82,	86.94,	87.02,	-1,	1,	-1
85.20,	85.96,	84.90,	85.25,	1629500.00,	17.60,	-82.40,	-0.00187332,	4923000.00,	85.19,	86.02,	85.20,	86.65,	58.80,	86.41,	86.86,	1,	-1,	1
