Date,,Open,High,Low,Close,Shares Traded
03-Jan-2000,,1482.15,1592.9,1482.15,1592.2,0
04-Jan-2000,,1594.4,1641.95,1594.4,1638.7,0
05-Jan-2000,mbjh,1634.55,1635.5,1555.05,1595.8,0
06-Jan-2000,vhg,1595.8,1639,1595.8,1617.6,0
07-Jan-2000,,1616.6,1628.25,1597.2,1613.3,0
10-Jan-2000,,1615.65,1662.1,1614.95,1632.95,0
11-Jan-2000,,1633.25,1639.9,1548.25,1572.5,0
12-Jan-2000,,1572.3,1631.55,1571.7,1624.8,0
13-Jan-2000,,1627.85,1671.15,1613.65,1621.4,0
14-Jan-2000,,1622.15,1627.4,1591.4,1622.75,0
17-Jan-2000,,1623.5,1668.45,1604.65,1611.6,0
18-Jan-2000,,1611.65,1615.15,1587.85,1606.7,0
19-Jan-2000,,1610.05,1644.45,1608.85,1634.85,0
20-Jan-2000,,1634.65,1644.4,1596.65,1601.1,0
21-Jan-2000,,1601.25,1626.5,1593.2,1620.6,0
24-Jan-2000,,1623.05,1645,1608.3,1613.6,0
25-Jan-2000,,1612.95,1613.65,1579.55,1586.4,0
27-Jan-2000,,1600.5,1633.55,1600.05,1603.9,0
28-Jan-2000,,1603.65,1610.9,1592.7,1599.1,0
31-Jan-2000,,1598.35,1598.35,1538.7,1546.2,0
01-Feb-2000,,1546.2,1554.15,1521.4,1549.5,0
02-Feb-2000,,1554.2,1605.9,1554.2,1588,0
03-Feb-2000,,1591.25,1616.7,1591.25,1597.9,0
04-Feb-2000,,1598.5,1621.35,1596.45,1599.75,0
07-Feb-2000,,1599.8,1645.9,1599.8,1636.6,0
08-Feb-2000,,1636.6,1676.1,1636.6,1662.75,0
09-Feb-2000,,1666.95,1731.65,1666.7,1689.65,0
10-Feb-2000,,1692.1,1713.7,1692.1,1711.2,0
11-Feb-2000,,1712.85,1771.65,1712.85,1756,0
14-Feb-2000,,1777.75,1795.45,1738.75,1744.5,0
15-Feb-2000,,1744.5,1744.5,1694.45,1702.55,0
16-Feb-2000,,1704.85,1742.8,1704.15,1711.1,0
17-Feb-2000,,1710.05,1753.1,1710.05,1742.1,0
18-Feb-2000,,1742.3,1764.15,1713.45,1717.8,0
21-Feb-2000,,1719.55,1767.8,1719.55,1753.5,0
22-Feb-2000,,1754.2,1781.05,1733.55,1739.05,0
23-Feb-2000,,1745.2,1818.15,1689.2,1696.4,0
24-Feb-2000,,1696.4,1751.6,1693.1,1732,0
25-Feb-2000,,1734.05,1757.05,1699.25,1710.45,0
28-Feb-2000,,1711.15,1726.65,1670.75,1722.55,0
29-Feb-2000,,1722.85,1783.3,1626.35,1654.8,0
01-Mar-2000,,1661.5,1727.9,1630,1712.7,0
02-Mar-2000,,1713.65,1773.85,1690.05,1696.55,0
03-Mar-2000,,1696.45,1719.15,1644.4,1656,0
06-Mar-2000,,1656,1721,1656,1688.5,0
07-Mar-2000,,1711.85,1730.85,1684.9,1702.75,0
08-Mar-2000,,1717.75,1765.25,1654.45,1666.35,0
09-Mar-2000,,1667.45,1692.25,1595.45,1646.25,0
10-Mar-2000,,1647.85,1680.45,1588.2,1602.75,0
13-Mar-2000,,1601.4,1645,1553.45,1560.7,0
14-Mar-2000,,1561.55,1571.3,1503.2,1567.05,0
15-Mar-2000,,1546.8,1630.95,1538.7,1620.1,0
16-Mar-2000,,1620.4,1621.2,1554.3,1562.2,0
21-Mar-2000,,1563.3,1585.25,1542.65,1556.6,0
22-Mar-2000,,1551.05,1604,1551.05,1589.6,0
23-Mar-2000,,1590.3,1629.2,1544.5,1553.4,0
24-Mar-2000,,1554.2,1579.4,1540.45,1569.55,0
27-Mar-2000,,1570.45,1593.3,1555.75,1562.95,0
28-Mar-2000,,1563.3,1575.85,1527.55,1568.6,0
29-Mar-2000,,1569.3,1609.4,1553.4,1558.25,0
30-Mar-2000,,1556.95,1557.85,1489.1,1549.5,0
31-Mar-2000,,1545.55,1545.55,1493.9,1528.45,0
03-Apr-2000,,1528.7,1555.5,1510.75,1534.75,0
04-Apr-2000,,1534.05,1534.05,1420.85,1428.1,0
05-Apr-2000,,1428.5,1467.4,1391.65,1434.65,0
06-Apr-2000,,1436.15,1475.25,1381.05,1452.95,0
07-Apr-2000,,1453.3,1558.05,1453.3,1557.15,0
10-Apr-2000,,1557.55,1636.95,1557.55,1613,0
11-Apr-2000,,1613,1631.6,1550.85,1624.65,0
12-Apr-2000,,1624.4,1628.55,1586,1592.7,0
13-Apr-2000,,1587.95,1587.95,1502.7,1518.65,0
17-Apr-2000,,1518.55,1518.55,1412.45,1443.55,0
18-Apr-2000,,1443.55,1478.85,1410,1414.8,0
19-Apr-2000,,1417.75,1469.05,1375.05,1404.95,0
20-Apr-2000,,1405.7,1425.55,1339.75,1415.65,0
24-Apr-2000,,1416.05,1431.8,1371.85,1388,0
