c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,56.2562562563,43.7437437437,56.2562562563,43.7437437437,99.5024875622,0.4975124378,100,100,100,56.2189054726,56,100,0.9649038644,0.9540034771,0.9833382474,0.9649038644,0,0.121821662,0.1100933781,2.467478445,1.3208298324,-1.4178138296
1,200,56.2562562563,43.7437437437,56.7567567568,43.2432432432,91.0447761194,8.9552238806,99.0990990991,98.7654320988,99.537037037,56.7164179104,56.8306010929,55.5555555556,0.9534055094,0.9337940625,0.9791313798,0.9698119612,-0.5231751494,0.1590119186,0.1407447891,0.3447277355,1.3420297531,-1.3911493817
1,100,56.2562562563,43.7437437437,60.1601601602,39.8398398398,85.5721393035,14.4278606965,94.0940940941,91.846921797,97.4874371859,59.2039800995,58.7209302326,62.0689655172,0.8836111685,0.8230281725,0.9750170923,0.9842359297,-0.666999906,0.1570292659,0.1485874407,0.2070980219,1.2839675231,-1.4784055221
1,20,56.2562562563,43.7437437437,69.2692692693,30.7307307307,77.1144278607,22.8855721393,75.1751751752,72.6878612717,80.7817589577,57.7114427861,58.7096774194,54.347826087,0.5138883108,0.4472862674,0.664447979,0.9855332672,-0.9029331382,0.1467734424,0.1582343841,0.1081550516,1.3082881465,-1.4383525068
1,10,56.2562562563,43.7437437437,76.5765765766,23.4234234234,82.5870646766,17.4129353234,67.4674674675,65.4901960784,73.9316239316,59.2039800995,59.0361445783,60,0.3815858499,0.3183823832,0.5887527686,0.9998784896,-0.8928154931,0.2011687639,0.1806810804,0.2983389195,1.3212449983,-1.4243077227
1,6.6666666667,56.2562562563,43.7437437437,78.4784784785,21.5215215215,84.07960199,15.92039801,64.1641641642,63.0102040816,68.3720930233,58.7064676617,58.5798816568,59.375,0.2975319352,0.2571632361,0.4451123886,0.9857240526,-0.9278323626,0.1572154601,0.1513358126,0.1882673485,1.2950071845,-1.4603679554
1,4,56.2562562563,43.7437437437,81.6816816817,18.3183183183,87.5621890547,12.4378109453,61.961961962,61.1519607843,65.5737704918,56.2189054726,56.8181818182,52,0.2450550588,0.2149946539,0.3794234256,0.9783270453,-0.943152689,0.0731658993,0.0973225652,-0.0968970282,1.2775563444,-1.4733809222
1,3.5714285714,56.2562562563,43.7437437437,82.5825825826,17.4174174174,87.5621890547,12.4378109453,60.8608608609,60.3636363636,63.2183908046,56.2189054726,56.8181818182,52,0.2313399051,0.2043545254,0.3595980029,0.984736853,-0.9342207674,0.0731658993,0.0973225652,-0.0968970282,1.2775563444,-1.4733809222
1,1.3333333333,56.2562562563,43.7437437437,82.6826826827,17.3173173173,88.5572139303,11.4427860697,59.5595595596,59.5641646489,59.5375722543,57.2139303483,57.3033707865,56.5217391304,0.1838329049,0.1753912306,0.2242358317,0.9662903412,-0.9628719586,0.1241786844,0.1250312156,0.1175808348,1.2999187115,-1.4480318168
1,1,56.2562562563,43.7437437437,82.8828828829,17.1171171171,88.0597014925,11.9402985075,58.7587587588,59.0579710145,57.3099415205,56.7164179104,57.0621468927,54.1666666667,0.1581826557,0.1595011918,0.1517827435,0.9575891027,-0.9752752777,0.1103527174,0.1178872694,0.0547853964,1.2991328257,-1.4473591487
