0,1,2,3,4,5,6,7,8,9
Date,I1,I2,I3,I4,I5,I6,I7,Output NSE Intraday Change,Intraday Change Value
1,-0.0721,-0.0104,-0.0071,-0.0013,-0.007,-0.007,0,-1,0.005
2,0.0199,-0.0007,0.0038,0.0021,0.0417,0.0415,0,-1,0.005
3,-0.0685,0,-0.0016,-0.0007,-0.0006,-0.0028,-0.0002,1,0.005
4,0.017,-0.0094,0.0034,-0.0012,-0.0108,-0.0036,-0.0021,-1,0.005
5,0.0173,0.0226,0.0042,-0.0088,0.0103,0.0155,0.0072,-1,0.005
6,0.0071,0.0021,-0.0007,-0.0041,-0.0041,-0.0004,0.0052,1,0.005
7,-0.0282,0.0007,-0.0018,0.005,-0.0124,-0.0073,0.0037,-1,0.005
8,-0.0035,0.0014,0.0119,0.0014,-0.0148,-0.0026,0.0051,-1,0.005
9,0.0229,-0.0055,-0.0059,-0.0037,0.0134,0.0172,0.0124,-1,0.005
10,-0.0802,0.007,-0.0233,0.0038,-0.0303,-0.055,0.0037,1,0.005
11,-0.0039,-0.0261,0.0022,0.0037,-0.0505,-0.0567,-0.0255,-1,0.005
12,-0.0607,-0.0088,-0.021,0.0004,0.0104,0.0218,-0.0066,-1,0.005
13,-0.0371,0.0019,-0.0008,0.0122,-0.0146,-0.072,0.0113,1,0.005
14,-0.0184,0.005,-0.0047,0.002,0.0125,0.0132,-0.0582,-1,0.005
15,0.0185,0.0012,-0.0078,-0.0069,-0.0007,-0.0057,0.0007,1,0.005
16,0.0018,0.0096,-0.0089,-0.0074,-0.0035,-0.0084,-0.005,-1,0.005
20,-0.0031,0.0166,-0.0061,0.0001,0,0.0016,0.0042,-1,0.005
21,0.0345,0.0065,0,-0.0053,0.0176,0.0212,0.0016,0,0.005
22,0,0.0157,0.001,-0.0017,0.0067,0.014,0.0035,1,0.005
23,0.0038,0.0177,0.0189,0.0017,0.0061,0.0149,0.0072,1,0.005
24,-0.0165,0.0044,0.0001,-0.0022,-0.0153,-0.0219,0.0088,1,0.005
25,-0.0134,-0.0061,-0.0033,0.001,-0.0048,0.0051,-0.0067,-1,0.005
26,0,0.0179,0.0043,-0.0007,-0.0011,0.0176,0.01,-1,0.005
27,0.0024,0.0194,0.0102,0.0026,0.0101,-0.0021,0.0188,-1,0.005
28,-0.0225,-0.0211,-0.0151,0.0141,-0.0072,-0.0063,-0.012,1,0.005
29,-0.0238,0.0049,-0.0108,-0.0016,-0.0088,-0.0059,0.0009,-1,0.005
30,0.005,-0.0098,0.0068,0.0042,-0.0081,0.0011,0.003,-1,0.005
31,0.0331,0.0168,0.0006,0.003,0.0155,0.033,0.0093,-1,0.005
32,0.0158,0.0291,0.0061,-0.0025,0.0079,0.0095,0.0172,1,0.005
36,-0.0604,-0.0033,-0.0086,-0.0036,-0.0036,0.0016,0.0032,-1,0.005
37,-0.018,-0.01,-0.005,-0.005,-0.0313,-0.0313,0.0052,-1,0.005
38,-0.0041,-0.0147,-0.0138,-0.0066,-0.0212,-0.0222,0,-1,0.005
39,-0.0258,-0.0106,-0.0136,-0.0053,-0.0111,-0.0047,-0.0009,-1,0.005
40,0.0085,0.0006,0.0038,-0.0051,-0.0065,-0.0126,0.0065,-1,0.005
41,-0.0283,0.0012,-0.014,-0.0085,0.0071,0.0203,-0.0061,-1,0.005
42,0.0482,0.0236,0.0069,-0.0008,0.0172,0.0247,0.0132,1,0.005
43,-0.0182,-0.0039,0.0062,-0.0028,0.0129,0.0139,0.0073,1,0.005
47,-0.0465,0.0019,0.0011,-0.0011,-0.0299,-0.0221,-0.0019,1,0.005
48,-0.025,0.0127,0.0014,0.0034,-0.0079,-0.0057,0.008,-1,0.005
50,-0.0226,0.0045,-0.005,0.0004,-0.0002,0.0009,-0.0008,1,0.005
51,-0.0264,0,-0.008,0.0076,0.0562,0.0628,0.0011,-1,0.005
52,-0.0054,-0.0068,-0.0017,0.0028,-0.0155,-0.0235,0.0063,1,0.005
53,0.0018,-0.0067,-0.0179,-0.0017,-0.0161,-0.01,-0.0081,-1,0.005
54,0.0092,0.0145,0.0037,-0.0034,0.0163,0.0329,0.0062,-1,0.005
55,0.0276,0.0101,0.0412,0.0054,-0.011,-0.0052,0.0163,1,0.005
56,-0.0057,-0.0027,-0.0111,-0.0085,-0.017,-0.0121,0.0058,-1,0.005
57,-0.0402,0.0007,0.0062,0.0006,0.0135,0.0173,0.005,-1,0.005
58,0.0431,-0.0061,-0.0028,0.0028,-0.0125,-0.0108,0.0038,1,0.005
59,-0.001,-0.0014,0.0077,0.0084,-0.0054,0,0.0018,-1,0.005
60,-0.0242,-0.0054,-0.0208,0.0016,-0.0315,-0.035,0.0054,-1,0.005
61,0.0149,0.002,-0.0162,-0.0029,0.0033,-0.0027,-0.0037,-1,0.005
62,0.0287,-0.002,-0.007,-0.0001,0.0222,0.0294,-0.0059,1,0.005
63,0.0336,-0.004,0.0153,0.013,-0.0303,-0.0292,0.0071,1,0.005
64,-0.0352,-0.0086,-0.0111,0.0049,0.0156,0.0122,0.0012,-1,0.005
65,0.0135,-0.0033,-0.0015,0.0036,-0.0017,-0.0041,-0.0033,1,0.005
