c,gamma,dist+plus_actual,dist_minus_act,pred_plus_train,pred_minus_train,pred_plus_test,pred_minus_test,pred_tain_accuracy_tot,pred_train_acc_plus,pred_train_acc_minus,pre_test_acc_tot,pred_test_acc_plus,pred_test_acc_minus,ret_pt_tot_train,ret_pt_tot_plus,ret_pt_train_minus,ret_pt_cor_train,ret_pt_inc_train,rt_pt_tot_test,rt_pt_plus_test,rt_pt_minus_test,rt_pt_cor_test,ret_pt_inc_test
0.5,1000,54.0833333333,45.9166666667,99.4994994995,0.5005005005,100,0,54.0540540541,53.8229376258,100,56.7164179104,56.7164179104,nan,0.0395561863,0.0326061265,1.4240080821,1.0698599083,-1.1673071757,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
0.5,200,54.0833333333,45.9166666667,89.6896896897,10.3103103103,100,0,63.8638638639,59.7098214286,100,56.7164179104,56.7164179104,nan,0.2466180638,0.1515703472,1.0752865062,1.0679605332,-1.196953549,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
0.5,100,54.0833333333,45.9166666667,78.0780780781,21.9219219219,97.0149253731,2.9850746269,74.4744744745,67.9487179487,97.7168949772,54.7263681592,55.8974358974,16.6666666667,0.5081327789,0.3414300341,1.1033909819,1.0917297514,-1.1813463945,0.0356448812,0.0485386682,-0.3834031971,1.0435719121,-1.1827284529
0.5,20,54.0833333333,45.9166666667,62.4624624625,37.5375375375,73.1343283582,26.8656716418,71.6716716717,70.1923076923,74.1333333333,52.736318408,56.462585034,42.5925925926,0.501738365,0.422076612,0.6341548427,1.1299532554,-1.0765137809,0.0791402163,0.0941246359,0.0383492962,1.1241904859,-1.086915874
0.5,10,54.0833333333,45.9166666667,64.5645645646,35.4354354354,74.6268656716,25.3731343284,65.5655655656,64.8062015504,66.9491525424,53.2338308458,56.6666666667,43.137254902,0.3497727831,0.2906178154,0.4574181609,1.1190652781,-1.1065468245,0.0414645141,0.0669994227,-0.0336381583,1.0782970415,-1.1387597458
0.5,6.6666666667,54.0833333333,45.9166666667,65.0650650651,34.9349349349,74.6268656716,25.3731343284,64.4644644645,63.8461538462,65.6160458453,53.2338308458,56.6666666667,43.137254902,0.3212669009,0.2664699151,0.4231892945,1.1160257191,-1.1124156732,0.0324262492,0.0609437853,-0.0514488567,1.0698078301,-1.148422997
0.5,3.5714285714,54.0833333333,45.9166666667,68.2682682683,31.7317317317,76.1194029851,23.8805970149,61.4614614615,60.9970674487,62.4605678233,52.736318408,56.2091503268,41.6666666667,0.2631759024,0.2114163543,0.3743449947,1.1232019843,-1.1013099227,0.0374398701,0.0630420699,-0.0441671415,1.084653837,-1.1310304507
0.5,1.3333333333,54.0833333333,45.9166666667,69.96996997,30.03003003,77.6119402985,22.3880597015,58.7587587588,58.7982832618,58.6666666667,53.2338308458,56.4102564103,42.2222222222,0.2269396108,0.1803730086,0.3352340345,1.1439689173,-1.0732927633,0.0453358433,0.0669165512,-0.0294772775,1.0819331965,-1.1346207183
0.5,1,54.0833333333,45.9166666667,68.968968969,31.031031031,76.1194029851,23.8805970149,58.3583583584,58.6357039187,57.7419354839,52.736318408,56.2091503268,41.6666666667,0.2134503564,0.1732025133,0.3027462141,1.140237363,-1.0791736264,0.0357987505,0.0619640795,-0.0476032357,1.0830978698,-1.1327665826
0.5,0.1,54.0833333333,45.9166666667,59.0590590591,40.9409409409,66.1691542289,33.8308457711,55.6556556557,57.7966101695,52.5672371638,52.736318408,57.1428571429,44.1176470588,0.1417803201,0.1417608153,0.1418083197,1.1310926788,-1.0943043349,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0909090909,54.0833333333,45.9166666667,58.8588588589,41.1411411411,66.1691542289,33.8308457711,55.8558558559,57.9931972789,52.798053528,52.736318408,57.1428571429,44.1176470588,0.1478227699,0.1473862706,0.1484442264,1.1324583791,-1.0924180201,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0833333333,54.0833333333,45.9166666667,58.6586586587,41.3413413413,66.1691542289,33.8308457711,55.6556556557,57.8498293515,52.5423728814,52.736318408,57.1428571429,44.1176470588,0.1410254842,0.1420837639,0.1395311423,1.1304131908,-1.0951533132,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0769230769,54.0833333333,45.9166666667,58.6586586587,41.3413413413,66.1691542289,33.8308457711,55.6556556557,57.8498293515,52.5423728814,52.736318408,57.1428571429,44.1176470588,0.1410254842,0.1420837639,0.1395311423,1.1304131908,-1.0951533132,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0714285714,54.0833333333,45.9166666667,58.6586586587,41.3413413413,66.1691542289,33.8308457711,55.6556556557,57.8498293515,52.5423728814,52.736318408,57.1428571429,44.1176470588,0.1410254842,0.1420837639,0.1395311423,1.1304131908,-1.0951533132,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0666666667,54.0833333333,45.9166666667,58.6586586587,41.3413413413,66.1691542289,33.8308457711,55.6556556557,57.8498293515,52.5423728814,52.736318408,57.1428571429,44.1176470588,0.1410254842,0.1420837639,0.1395311423,1.1304131908,-1.0951533132,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0625,54.0833333333,45.9166666667,58.6586586587,41.3413413413,66.1691542289,33.8308457711,55.6556556557,57.8498293515,52.5423728814,52.736318408,57.1428571429,44.1176470588,0.1410254842,0.1420837639,0.1395311423,1.1304131908,-1.0951533132,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0588235294,54.0833333333,45.9166666667,58.5585585586,41.4414414414,66.1691542289,33.8308457711,55.5555555556,57.7777777778,52.4154589372,52.736318408,57.1428571429,44.1176470588,0.1375520202,0.1393549007,0.1350167195,1.1293175952,-1.0965957245,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0555555556,54.0833333333,45.9166666667,59.6596596597,40.3403403403,66.1691542289,33.8308457711,56.0560560561,58.0536912752,53.1017369727,52.736318408,57.1428571429,44.1176470588,0.150172033,0.1473807606,0.1542796832,1.1305135389,-1.0947060696,0.1474815723,0.1556738929,0.131458357,1.1889858282,-1.0146179132
0.5,0.0526315789,54.0833333333,45.9166666667,60.6606606607,39.3393393393,67.6616915423,32.3383084577,56.6566566567,58.4158415842,53.9440203562,52.2388059701,56.6176470588,43.0769230769,0.1602657436,0.1532852071,0.1709751238,1.1274549186,-1.0981918955,0.1344271573,0.1425930812,0.1173415318,1.1878145626,-1.0177153173
0.5,0.05,54.0833333333,45.9166666667,61.8618618619,38.1381381381,68.1592039801,31.8407960199,56.8568568569,58.4142394822,54.3307086614,52.736318408,56.9343065693,43.75,0.1738176538,0.1612840882,0.1940415272,1.1354264348,-1.0875998696,0.1416894687,0.1468797179,0.1305790917,1.1834942583,-1.0207453491
0.5,0.0476190476,54.0833333333,45.9166666667,63.2632632633,36.7367367367,70.1492537313,29.8507462687,56.6566566567,58.0696202532,54.2234332425,53.7313432836,57.4468085106,45,0.1686689265,0.1536339059,0.1944199646,1.1348856483,-1.0885234057,0.1636484777,0.1583645514,0.1760657044,1.1820117757,-1.0189669652
0.5,0.0454545455,54.0833333333,45.9166666667,65.0650650651,34.9349349349,71.6417910448,28.3582089552,56.4564564565,57.6923076923,54.1547277937,54.2288557214,57.6388888889,45.6140350877,0.1621948695,0.1443944046,0.1951586934,1.1331649139,-1.0909564005,0.1965142866,0.1780028857,0.243279931,1.2014705099,-0.9941403692
0.5,0.0434782609,54.0833333333,45.9166666667,66.5665665666,33.4334334334,72.6368159204,27.3631840796,56.7567567568,57.7443609023,54.7904191617,53.2338308458,56.8493150685,43.6363636364,0.1466937729,0.1294707732,0.1807809599,1.1134862656,-1.1163738385,0.1042591814,0.1120601196,0.0835512362,1.1372770794,-1.0716228941
0.5,0.0416666667,54.0833333333,45.9166666667,68.0680680681,31.9319319319,74.6268656716,25.3731343284,57.2572572573,57.9411764706,55.7993730408,53.2338308458,56.6666666667,43.137254902,0.1609412096,0.1371013327,0.2114431295,1.1162195011,-1.1127631791,0.1075293749,0.1112628795,0.0965484793,1.1403486164,-1.0681265701
0.5,0.04,54.0833333333,45.9166666667,70.3703703704,29.6296296296,76.1194029851,23.8805970149,58.3583583584,58.4637268848,58.1081081081,52.736318408,56.2091503268,41.6666666667,0.1897745436,0.152926122,0.2771189504,1.1199119011,-1.107522297,0.0838034659,0.0934965887,0.0529066372,1.1286117745,-1.0819826468
0.5,0.0384615385,54.0833333333,45.9166666667,72.4724724725,27.5275275275,79.1044776119,20.8955223881,58.2582582583,58.1491712707,58.5454545455,54.7263681592,57.2327044025,45.2380952381,0.1796052612,0.1414762263,0.2797630523,1.1130909149,-1.1170263627,0.1056819564,0.1037972727,0.1128168305,1.1075603308,-1.1053798148
