'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
500,40642.3140664757,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,23907.2435685151,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,14063.0844520677,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,8272.4026188634,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,4866.1191875667,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,2862.4230515098,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,1683.778265594,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,990.4578032906,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,582.6222372298,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,342.7189630763,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,201.5993900449,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,118.587876497,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,69.75757441,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,41.0338673,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,24.137569,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
500,14.19857,52.6473526474,47.3526473526,52.8916929548,47.1083070452,68,32,100,100,100,56,52.9411764706,62.5,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.1608854352,0.2877901732,-0.1087871331,1.0470019567,-0.9668992286
500,8.3521,52.6473526474,47.3526473526,52.8916929548,47.1083070452,62,38,100,100,100,58,54.8387096774,63.1578947368,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.0752845688,0.2466078783,-0.2042429363,0.9371045906,-1.1148478424
500,4.913,52.6473526474,47.3526473526,52.8916929548,47.1083070452,66,34,100,100,100,58,54.5454545455,64.7058823529,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2838660353,0.3896782088,0.0784659338,1.1169161997,-0.8665365727
500,2.89,52.6473526474,47.3526473526,52.7865404837,47.2134595163,74,26,99.8948475289,100,99.7772828508,50,48.6486486486,53.8461538462,1.3017865158,1.3341905585,1.2655574971,1.3031692725,-0.0118323277,0.1769173567,0.2752882142,-0.1030612376,1.1886741131,-0.8348393996
500,1.7,52.6473526474,47.3526473526,52.8916929548,47.1083070452,74,26,99.1587802313,99.2047713718,99.1071428571,46,45.9459459459,46.1538461538,1.2929761404,1.3232093973,1.2590312114,1.308400292,-0.525145729,0.0619199005,0.1975872303,-0.3242101921,1.1670398444,-0.8794785703
500,1,52.6473526474,47.3526473526,53.3123028391,46.6876971609,66,34,94.952681388,94.8717948718,95.045045045,54,51.5151515152,58.8235294118,1.2131258418,1.23788069,1.1848584813,1.3243108066,-0.8785413093,0.1778544009,0.3093663645,-0.0774335286,1.1014918123,-0.9064156038
500,0.5882352941,52.6473526474,47.3526473526,56.1514195584,43.8485804416,54,46,87.0662460568,85.5805243446,88.96882494,54,51.8518518519,56.5217391304,1.0667109103,1.0449161235,1.0946207813,1.3601840078,-0.9088640873,0.1878010889,0.3873243419,-0.0464218602,1.1107017086,-0.8956039864
500,0.3460207612,52.6473526474,47.3526473526,58.1493165089,41.8506834911,68,32,76.8664563617,75.5877034358,78.6432160804,56,52.9411764706,62.5,0.810156328,0.7884150199,0.8403647283,1.3737902251,-1.0626453939,0.2737677609,0.3707918833,0.0675915009,1.1477897476,-0.8386238585
500,0.2035416243,52.6473526474,47.3526473526,59.6214511041,40.3785488959,88,12,70.5573080967,69.6649029982,71.875,52,50,66.6666666667,0.6538459023,0.637862255,0.6774467564,1.3858644518,-1.1003842646,0.2333935244,0.2635810936,0.0120180172,1.1972598854,-0.8107950332
500,0.1197303672,52.6473526474,47.3526473526,61.6193480547,38.3806519453,92,8,67.9284963197,66.8941979522,69.5890410959,48,47.8260869565,50,0.6342973665,0.6013183786,0.6872444539,1.4251079232,-1.0406653208,0.1642247649,0.2145293289,-0.4142777216,1.2249807513,-0.8149346072
500,0.0704296278,52.6473526474,47.3526473526,60.1472134595,39.8527865405,82,18,63.9327024185,63.986013986,63.8522427441,46,46.3414634146,44.4444444444,0.4888946426,0.495163592,0.4794333259,1.4004617158,-1.1269443674,0.1852252187,0.253496597,-0.1257888378,1.3010673642,-0.7653069793
500,0.0414291928,52.6473526474,47.3526473526,60.4626708728,39.5373291272,82,18,62.1451104101,62.4347826087,61.7021276596,42,43.9024390244,33.3333333333,0.4426754508,0.4543588677,0.4248085233,1.4035592173,-1.1347753993,0.1323026924,0.2212267639,-0.2727958553,1.3619755343,-0.7581500551
