'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1000,0.0010096341,55.5370524563,44.4629475437,82.7172827173,17.2827172827,87,13,59.6403596404,58.9371980676,63.0057803468,62.5,61.4942528736,69.2307692308,0.6940156018,0.6247650077,1.0254577515,2.6001904444,-2.122782371,0.5195061978,0.4888712392,0.724524767,1.8442904538,-1.688467562
2500,0.0005939024,55.5370524563,44.4629475437,82.1178821179,17.8821178821,86,14,59.8401598402,59.1240875912,63.1284916201,62.5,61.6279069767,67.8571428571,0.7094758422,0.6387387795,1.0343130801,2.6044266204,-2.1140950935,0.5352847232,0.5037293498,0.7291248742,1.856913274,-1.6674295282
50,0.0079365079,55.5370524563,44.4629475437,85.014985015,14.985014985,84.5,15.5,59.5404595405,58.6368977673,64.6666666667,62,61.5384615385,64.5161290323,0.6759668632,0.5972644333,1.1224719823,2.5893964793,-2.1398456088,0.457214237,0.466475737,0.4067241245,1.8089283116,-1.7482139899
50,0.0078740157,55.5370524563,44.4629475437,85.2147852148,14.7852147852,85.5,14.5,59.5404595405,58.6166471278,64.8648648649,62,61.4035087719,65.5172413793,0.6720443672,0.5935625129,1.1243755954,2.586102504,-2.144693039,0.4531848222,0.4586634974,0.4208795303,1.8056787835,-1.7535158515
50,0.0078125,55.5370524563,44.4629475437,85.5144855145,14.4855144855,86.5,13.5,59.2407592408,58.4112149533,64.1379310345,62,61.2716763006,66.6666666667,0.6493750829,0.5782276246,1.0693904228,2.5800524715,-2.1567320039,0.4722238213,0.4643662311,0.5225706033,1.8210328151,-1.7284645369
500,0.001716378,55.5370524563,44.4629475437,83.7162837163,16.2837162837,87.5,12.5,60.4395604396,59.307875895,66.2576687117,62,61.1428571429,68,0.7337412024,0.6410359063,1.2103487981,2.5986716668,-2.1154581182,0.5065385504,0.478667605,0.7016351679,1.8487059837,-1.6833135776
700,0.001716378,55.5370524563,44.4629475437,82.3176823177,17.6823176823,85.5,14.5,59.8401598402,59.1019417476,63.2768361582,62,61.4035087719,65.5172413793,0.7205196159,0.6438964629,1.0772285315,2.6136543479,-2.1003453205,0.5290471291,0.5030274196,0.6824736921,1.8668580633,-1.6536970266
10000,0.0002055026,55.5370524563,44.4629475437,81.018981019,18.981018981,83.5,16.5,59.7402597403,59.186189889,62.1052631579,62,61.6766467066,63.6363636364,0.6963174104,0.6392817282,0.9397697169,2.5977688135,-2.1251911233,0.514812179,0.5065520583,0.5566133956,1.8553782648,-1.6724272242
15,0.0138888889,55.5370524563,44.4629475437,86.1138861139,13.8861138861,84,16,59.040959041,58.2366589327,64.0287769784,61.5,61.3095238095,62.5,0.588105781,0.5386282611,0.894937595,2.5368964975,-2.2210047395,0.4128473707,0.4428435292,0.2553675383,1.7875644228,-1.7831292191
15,0.0136986301,55.5370524563,44.4629475437,86.1138861139,13.8861138861,84,16,59.040959041,58.2366589327,64.0287769784,61.5,61.3095238095,62.5,0.588105781,0.5386282611,0.894937595,2.5368964975,-2.2210047395,0.4128473707,0.4428435292,0.2553675383,1.7875644228,-1.7831292191
