0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
date,day,o_yday,h_yday,l_yday,c_yday,v_yday,o_tday,c_tday,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1_p,lag_2_p,lag_3_p,lag_4_p,lag_5_p,lag_6_p,lag_7_p,lag_8_p,lag_9_p,lag_10_p,yhc,ylc,yoc_past,MACD,MACDsig,MACDhist,MACDhist_past,slowk,slowd,fastk,fastd,OBV,AD,Bband u,bband m,bband l,rsi1,willr1,cci1,roc1,mom1,sma1,wma1,ema_fast =1,tsf1,tema_fast =1,adx1,mfi1,atr1,disS1,disW1,ocrsi1,rsi2,willr2,cci2,roc2,mom2,sma2,wma2,ema_fast =2,tsf2,tema_fast =2,adx2,mfi2,atr2,disS2,disW2,ocrsi2,rsi3,willr3,cci3,roc3,mom3,sma3,wma3,ema_fast =3,tsf3,tema_fast =3,adx3,mfi3,atr3,disS3,disW3,ocrsi3,rsi4,willr4,cci4,roc4,mom4,sma4,wma4,ema_fast =4,tsf4,tema_fast =4,adx4,mfi4,atr4,disS4,disW4,ocrsi4,rsi71,will71,adx71,mfi71,atr71,ocrsi71,rsi72,will72,adx72,mfi72,atr72,ocrsi72,yoc_abs,yoc_qnt,yoc_sgn
2010-01-06,Wednesday,30.657142999999998,30.798571000000003,30.464284999999997,30.625713,150476200.0,30.625713,30.138571000000002,,,,,,,,,,,,,,,,,,,,,0.005644211450685295,-0.005270995649962642,0.0,,,,,,,,,150476200.0,-5145124.13322587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015906307226218656,-2.0,-1.0
2010-01-07,Thursday,30.625713,30.747142999999998,30.107143,30.138571000000002,138040000.0,30.25,30.082857,4.141039567518762,,,,,,,,,,,,,,,,,,,,0.02019246367055675,-0.001042783348951806,0.0036972224064637156,,,,,,,,,12436200.0,-129627870.63322504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005525388429752046,-1.0,-1.0
2010-01-08,Friday,30.25,30.285715000000003,29.864286,30.082857,119282800.0,30.042856,30.282858,6.29332959712939,4.032751137814877,,,,,,,,,1.420946859581476,,,,,,,,,,0.006743308988238805,-0.0072656330480845195,-0.0013296941842990569,,,,,,,,,-106846600.0,-125180405.84935929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007988654607271708,1.0,1.0
2010-01-11,Monday,30.042856,30.285715000000003,29.865715,30.282858,111902700.0,30.4,30.015715000000004,-5.013388387071109,-5.3417566873481555,4.492287611947475,,,,,,,,1.8394902783725948,1.420946859581476,,,,,,,,,9.434380334915317e-05,-0.013774888750592806,0.003868261047223404,,,,,,,,,5056100.0,-14800115.43936053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012640953947368253,-2.0,-1.0
2010-01-12,Tuesday,30.4,30.428571999999996,29.778571999999997,30.015715000000004,115557400.0,29.884285,29.674286,4.730552993277965,6.104900973996835,5.502548121156143,3.916139550735215,,,,,,,-1.6121120112569405,1.8394902783725948,1.420946859581476,,,,,,,,0.01375469483235671,-0.00790062805433776,-0.0043787062876898064,,,,,,,,,-110501300.0,-46038658.49105024,,,,,-76.7506634810421,,,,30.229142800000005,30.15742886666667,30.229142800000005,29.906430100000026,,,,,0.9929396674787615,0.9953008637674909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007027071251662867,-1.0,-1.0
2010-01-13,Wednesday,29.884285,29.967142,29.488571000000004,29.674286,148614900.0,29.695715000000003,30.092857000000002,4.476336605725244,3.9072218596556874,4.299045047799657,4.173062471173768,3.4716322663825596,,,,,,1.5540421075682682,-1.6121120112569405,1.8394902783725948,1.420946859581476,,,,,,,0.009869015888031829,-0.006258448813224849,0.0007221403743296403,,,,,,,,,-259116200.0,-79310104.1091529,,,,14.79922363660983,-85.24399080863108,,-3.1066280807895086,-0.9514270000000025,30.038857400000005,29.972476600000004,30.044190533333335,29.7401438,,,17.718146072273427,0.5317146000000001,0.9878633399684501,0.9900511858269327,15.262441051300101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013373714019009096,2.0,1.0
2010-01-14,Thursday,29.695715000000003,30.132856,29.157142999999998,30.092857000000002,151473000.0,30.015715000000004,29.918571000000004,-4.261189629466789,-5.963828477494693,5.071307753525965,-8.009125660612446,6.491156462260591,4.05134401040054,,,,,1.498804989973608,1.5540421075682682,-1.6121120112569405,1.8394902783725948,1.420946859581476,,,,,,0.0013291858596210428,-0.031094222791807513,-0.0025634654762091377,,,,,,,,,-107643200.0,59743734.668234095,,,,38.578803881432975,-26.404541661389974,,-0.15167938785153323,-0.045714000000000254,30.029714600000005,29.99047646666667,30.060412688888892,29.853142999999996,,,40.725169853902635,0.6205142800000006,1.0021026640060042,1.0034137681489363,39.239516284537544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.99390530684248,,,,,,,,,,,-0.0032364379792385457,-1.0,-1.0
2010-01-15,Friday,30.015715000000004,30.065714,29.860001,29.918571000000004,108223500.0,30.132856,29.418571000000004,5.151345485589739,-4.799700582070758,5.733281943073321,4.420395070327801,5.210101942175761,4.919933512627168,3.768363734823196,,,,-1.4495483770400293,1.498804989973608,1.5540421075682682,-1.6121120112569405,1.8394902783725948,1.420946859581476,,,,,0.004918115908677465,-0.001957646974516367,0.007162273893361976,,,,,,,,,-215866700.0,13146387.560859814,,,,33.68545254908441,-40.1124246812046,,-0.546111694112017,-0.16428599999999705,29.996857400000003,29.9534286,30.013132125925928,29.80142780000001,,,58.50965891201418,0.5429826240000009,0.9973901799459833,0.998836273454185,36.11496516973224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.81486674285584,-52.11144654088014,,41.5314846240743,0.5524488571428579,31.379020338892488,,,,,,,-0.023704523726526178,-2.0,-1.0
2010-01-19,Tuesday,30.132856,30.228571000000002,29.41,29.418571000000004,148516900.0,29.761428999999996,30.719998999999998,4.0916265718304565,3.798388760351629,4.753972615459632,3.9173180664875846,3.5564321992587193,3.8129979739731295,3.734309846969425,3.233584367972188,,,1.6392579398911804,-1.4495483770400293,1.498804989973608,1.5540421075682682,-1.6121120112569405,1.8394902783725948,1.420946859581476,,,,0.027533628332932915,-0.00029134657832304077,0.011654474991324102,,,,,45.98718071479781,51.34825984515637,,,-364383600.0,-132260364.75518729,,,,23.15378484187179,-79.43825412193632,,-2.854046999130655,-0.8642869999999974,29.824000000000005,29.760666466666667,29.81494508395062,29.538999100000012,,,38.66695480610709,0.5981002992000011,0.9864059482296137,0.9885051140554992,20.853250903923097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.472514189241153,-79.43825412193632,,41.19027210353941,0.5904663061224499,21.219043856295258,,,,,,,0.03220846687166808,2.0,1.0
