,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,743.0,774.65,741.0,1837008.0,42.26,-57.74,0.04248253,137627195.0,574.35,670.05,716.75,755.85,77.19,751.95,777.43,-1.0,-1.0
1,1295.1,1315.0,1260.0,245625.0,1.89,-98.11,-0.01390606,-7230247.0,1033.86,1173.58,1292.91,1308.65,52.39,1311.38,1320.33,1.0,1.0
2,450.0,454.9,445.25,365403.0,50.39,-49.61,-0.01808082,135643547.0,366.06,407.68,458.7,451.69,66.43,452.41,446.59,-1.0,1.0
3,660.0,662.0,646.1,373164.0,73.42,-26.58,0.01793232,-6494504.0,519.61,584.64,647.47,649.88,20.11,649.42,651.09,1.0,1.0
4,684.9,689.7,661.5,518973.0,91.8,-8.2,0.10532727,-4323291.0,510.76,573.38,631.61,633.81,69.9,637.16,616.29,-1.0,1.0
5,650.0,685.0,602.1,224060.0,53.0,-47.0,0.11748566,-8327499.0,511.92,576.89,632.29,640.44,-0.08,635.05,690.1,-1.0,1.0
6,439.85,445.65,426.0,61247.0,1.22,-98.78,-0.16443018,11090600.0,373.24,449.07,476.26,513.61,-0.86,508.48,522.07,1.0,-1.0
7,323.95,333.45,322.35,1133354.0,64.62,-35.38,-0.00015088,480702618.0,267.32,296.05,334.52,326.19,72.55,327.22,320.15,-1.0,-1.0
8,637.0,673.0,631.0,742299.0,125.96,25.96,0.181786,-1387766.0,469.76,516.25,579.32,565.98,44.76,568.44,566.92,-1.0,-1.0
9,455.45,471.4,455.4,4564305.0,105.01,5.01,0.05927364,423516708.0,351.25,385.06,438.94,422.55,67.91,428.83,402.24,-1.0,-1.0
10,549.5,554.9,532.65,3855381.0,66.12,-33.88,0.03663606,688436989.0,423.66,464.38,527.41,510.46,53.87,511.26,530.0,1.0,-1.0
11,262.2,267.35,261.6,510777.0,9.94,-90.06,0.01336643,301301659.0,212.74,247.31,265.61,278.82,9.82,276.8,283.68,-1.0,1.0
12,1025.0,1057.8,1024.0,228006.0,99.3,-0.7,0.05843468,-6890897.0,797.14,873.89,993.21,960.56,9.97,963.07,951.52,-1.0,-1.0
13,1305.0,1340.0,1297.0,182725.0,79.58,-20.42,-0.00160544,-7092691.0,1062.29,1197.56,1332.46,1334.59,55.42,1334.72,1305.26,-1.0,-1.0
14,561.5,564.0,538.5,151761.0,7.64,-92.36,-0.07996002,-2607186.0,449.91,532.9,567.71,605.9,49.6,600.99,660.97,-1.0,-1.0
15,502.05,515.5,498.0,144661.0,20.61,-79.39,-0.01148981,-9896112.0,409.05,461.82,512.24,513.52,69.29,516.2,519.59,-1.0,1.0
16,747.75,762.85,725.0,44096.0,21.64,-78.36,-0.04469201,12599939.0,605.05,687.45,758.47,767.38,-7.57,767.3,760.51,1.0,1.0
17,415.1,423.8,404.1,866383.0,48.22,-51.78,-0.05920677,430657074.0,337.97,389.69,424.67,437.97,46.28,435.08,445.1,1.0,1.0
18,475.55,477.9,450.3,506394.0,-47.64,-147.64,-0.0920012,144820562.0,389.97,445.32,490.2,498.92,-11.65,497.83,491.65,1.0,1.0
19,401.0,417.7,398.5,4212780.0,99.78,-0.22,0.03837789,720047810.0,315.97,347.62,393.8,382.21,0.0,383.27,370.9,-1.0,-1.0
20,513.5,525.0,513.5,44120.0,27.46,-72.54,-0.01642457,-10133217.0,415.11,463.27,520.24,513.93,50.29,513.03,516.22,-1.0,-1.0
