# RSI,MACD,MACD,MACD,WILLR,STOCH,STOCH,STOCHRSI,STOCHRSI,CCI,ROC,OBV,AD,MOM,SMA,WMA,EMA,TSF,BBANDS,BBANDS,BBANDS,TEMA,ADX,MFI,ATR,DS5,DS10,DW5,DW10,OCRSI
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.823663000000000000e+06,-6.823663000000581378e+05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.837980600000000000e+07,9.095908546153781936e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.262822000000000000e+07,9.019220732820445672e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.857115700000000000e+07,1.358339634882048331e+07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.689828300000000000e+07,1.712620995609325916e+07,nan,nan,nan,nan,nan,1.028591914372359923e+02,9.903799999999999670e+01,9.521680856276400107e+01,nan,nan,nan,nan,1.031119368323270002e+00,nan,1.022324557012713964e+00,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.284541100000000000e+07,1.546326895135395229e+07,nan,nan,nan,nan,nan,1.036099292445463504e+02,1.002180000000000035e+02,9.682607075545365660e+01,nan,nan,nan,nan,1.020275798758705887e+00,nan,1.012770649956088675e+00,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.954737500000000000e+07,1.895994582091918215e+07,nan,nan,nan,nan,nan,1.052800674656979822e+02,1.012780000000000058e+02,9.727593253430202935e+01,nan,nan,nan,nan,1.026185351211516883e+00,nan,1.016947494080119085e+00,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.416287000000000000e+07,1.592154657091918215e+07,nan,nan,nan,nan,nan,1.046735579220572703e+02,1.020860000000000127e+02,9.949844207794275519e+01,nan,nan,nan,nan,1.001704445271633714e+00,nan,9.974120217442195013e-01,nan,nan
nan,nan,nan,nan,nan,8.361518154722425322e+01,8.092220200988003853e+01,nan,nan,nan,nan,4.859877500000000000e+07,2.448742995947342366e+07,nan,nan,nan,nan,nan,1.069170631648947136e+02,1.034420000000000073e+02,9.996693683510530093e+01,nan,nan,nan,nan,1.031012548094584425e+00,nan,1.025020823989235774e+00,nan,nan
nan,nan,nan,nan,nan,7.908615664646104904e+01,7.507643086560143786e+01,nan,nan,nan,nan,2.339200600000000000e+07,4.527195878403484076e+07,nan,1.016620000000000061e+02,1.032852727272727407e+02,1.016620000000000061e+02,1.076140000000000327e+02,1.081000917660682745e+02,1.042860000000000156e+02,1.004719082339317566e+02,nan,nan,nan,nan,1.019695836449763027e+00,1.046015226928449060e+00,1.012639745046629347e+00,1.029575632537596652e+00,nan
